no,username,tweet,created_at
1,python_le,"RT @dailyJsPackages: react-native-audio-kit - iOS/Android audio library for React Nat... https://t.co/RFRZfmRIS5  #npm #javascript #nodejs","Sat Oct 21 13:14:36 +0000 2017"
2,3E8TestBot,"RT @dailyJsPackages: react-native-audio-kit - iOS/Android audio library for React Nat... https://t.co/RFRZfmRIS5  #npm #javascript #nodejs","Sat Oct 21 13:12:17 +0000 2017"
3,dailyJsPackages,"react-native-audio-kit - iOS/Android audio library for React Nat... https://t.co/RFRZfmRIS5  #npm #javascript #nodejs","Sat Oct 21 13:11:08 +0000 2017"
4,fasterthanlime,"How does a react-native developer prefer their martini drinks?

""Shaken, not stirred""","Sat Oct 21 13:02:38 +0000 2017"
5,Pvalsfr,"RT @javascriptnews: The Complete React Native and Redux Course
☞ https://t.co/qBKwxMa2kJ

#javascript #angular #react #node #webdev https:/…","Sat Oct 21 13:01:56 +0000 2017"
6,javascriptd,"RT @dailyJsPackages: toggle-switch-react-native - Toggle Switch component for rea... https://t.co/gUtQR8R5Fd  #npm #javascript #nodejs","Sat Oct 21 12:57:31 +0000 2017"
7,rtkhanas,"Check out https://t.co/ekQYohY98R. A single React component to generate QR codes. Works on React and React Native!🎉🎉🎉","Sat Oct 21 12:50:25 +0000 2017"
8,javascriptd,"RT @javascriptnews: The Complete React Native and Redux Course
☞ https://t.co/qBKwxMa2kJ

#javascript #angular #react #node #webdev https:/…","Sat Oct 21 12:49:52 +0000 2017"
9,NerdWalletEng,"Creating an NPM package for a component: The other day we faced a minor pain point in React Native, which I decided… https://t.co/3N4pHz449P","Sat Oct 21 12:44:03 +0000 2017"
10,steveamaza,"My love hate relationship with React Native 😍😠","Sat Oct 21 12:41:48 +0000 2017"
11,XeliteXirish,"RT @iman_mohansingh: Top 7 Editors For #ReactNative #MobileApp 📱 #Development..Know More Here- 🌐 https://t.co/YTUc2FBvnr #Reactjs #nodejs #…","Sat Oct 21 12:32:16 +0000 2017"
12,phientram,"RT @mattstaff: @orta Great write up about React Native compared to iOS &amp; Swift: https://t.co/4eOnVmjzwC","Sat Oct 21 12:31:17 +0000 2017"
13,nodenpm,"toggle-switch-react-native (0.0.1): https://t.co/GMjVobnrZP Toggle Switch component for react native, it wor...","Sat Oct 21 12:28:27 +0000 2017"
14,ImNickHuber,"RT @dailyJsPackages: toggle-switch-react-native - Toggle Switch component for rea... https://t.co/gUtQR8R5Fd  #npm #javascript #nodejs","Sat Oct 21 12:28:04 +0000 2017"
